Rank,Team,Year,R,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R▼,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
1,Kiwoom,25,860,144,144,533,144,0,0,47,93,31,55,1269.0,760,860,860.0,5800,1447,258,29,146,550,92,13,937,77,4,66,5.39,6.1,6.1,4.93,1.57,-3.52
2,NC,25,766,144,144,613,144,1,0,71,67,39,103,1270.0,680,766,766.0,5704,1279,206,20,146,621,97,31,1075,73,4,95,4.82,5.43,5.43,4.83,1.5,11.75
3,Lotte,25,749,144,144,590,144,0,0,66,72,36,69,1280.0,676,749,749.0,5747,1351,265,22,128,560,73,11,1173,76,5,69,4.75,5.27,5.27,4.33,1.49,15.08
4,KIA,25,734,144,144,576,144,1,0,65,75,30,82,1274.2,660,734,734.0,5616,1316,244,21,110,511,84,19,1058,77,2,53,4.66,5.18,5.18,4.26,1.43,13.16
5,Doosan,25,686,144,144,577,144,0,0,61,77,29,69,1280.0,612,686,686.0,5605,1227,223,23,109,542,99,23,1054,75,1,72,4.3,4.82,4.82,4.39,1.38,15.28
6,KT,25,657,144,144,482,144,1,1,71,68,37,60,1278.1,581,657,657.0,5584,1362,221,21,112,433,58,25,1067,53,6,61,4.09,4.63,4.63,4.0,1.4,20.35
7,Samsung,25,647,144,144,535,144,3,2,74,68,25,76,1268.2,581,647,647.0,5491,1257,211,17,132,455,70,16,1048,56,1,45,4.12,4.59,4.59,4.31,1.35,24.25
8,LG,25,584,144,144,538,144,1,1,85,56,42,77,1279.1,539,584,584.0,5508,1236,227,19,91,491,62,12,1080,55,2,44,3.79,4.11,4.11,3.96,1.35,25.5
9,SSG,25,576,144,144,556,144,1,0,75,65,36,102,1283.1,517,576,576.0,5463,1164,173,9,115,510,78,23,1193,61,1,56,3.63,4.04,4.04,4.04,1.3,29.86
10,Hanwha,25,554,144,144,586,144,1,0,83,57,41,57,1290.1,509,554,554.0,5478,1185,215,27,102,450,93,14,1339,46,9,60,3.55,3.86,3.86,3.57,1.27,31.32
0,League,25,6813,1440,1440,5586,1440,9,4,698,698,346,750,12773.2,6115,6813,6813.0,55996,12824,2243,208,1191,5123,806,187,11024,649,35,621,4.31,4.8,4.8,4.26,1.4,183.03
