pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,is_batter_home,batter_id,batter_name,batter_lineup_pos,pitcher_id,pitcher_name,pitcher_stance,pitch_type,pitch_speed_kph,pitch_result,home_score,away_score,strike,ball,out,base1,base2,base3,is_throwing_stretch,plate_z_ft,zone_5x5_id,is_outside_boundary
251007_151509,1,1,-0.028675,0.7083,3.331,1.615,-132.71,-9.28139,-4.72214,6.00778,50.0,1.07479,9.69595,31.0927,-14.3942,L,True,,류지혁,8,,N/A,L,직구,148,B,2,0,0,1,2,7,6,5,True,1.2181,13,False
251007_151529,1,2,0.087547,0.7083,3.331,1.615,-131.421,-9.24363,-5.82419,5.92413,50.0,1.24768,14.6165,30.2169,-11.6941,L,True,,류지혁,8,,N/A,L,직구,147,B,2,0,0,2,2,7,6,5,True,1.3088,13,False
251007_151553,1,3,-0.257229,0.7083,3.331,1.615,-132.195,-5.80789,-6.6923,6.03603,50.0,1.21755,14.939,31.4157,-15.4226,L,True,,류지혁,8,,N/A,L,직구,148,T,2,0,1,2,2,7,6,5,True,2.5155,32,False
251007_151616,1,4,-0.234174,0.7083,3.331,1.615,-131.825,-6.64901,-6.38854,6.00852,50.0,1.36655,11.7959,33.4198,-12.6473,L,True,,류지혁,8,,N/A,L,직구,147,H,2,0,1,2,2,7,6,5,True,2.3427,33,False
251007_151148,1,1,-0.363872,0.7083,3.422,1.66,-118.866,-6.0922,-6.52495,5.71561,50.0,1.46927,10.6678,27.9926,-20.6952,R,True,,강민호,7,,N/A,L,체인지업,133,S,1,0,1,0,2,6,5,3,True,0.9733,12,True
251007_151214,1,2,0.894182,0.7083,3.422,1.66,-117.981,-3.7266,-4.84033,5.72318,50.0,1.8201,12.4401,26.4064,-24.6485,R,True,,강민호,7,,N/A,L,체인지업,131,B,1,0,1,1,2,6,5,3,True,1.6087,15,True
251007_151242,1,3,-0.275709,0.7083,3.422,1.66,-130.503,-6.84964,-6.77198,6.12119,50.0,1.26762,14.5129,29.7927,-12.4631,R,True,,강민호,7,,N/A,L,직구,146,F,1,0,2,1,2,6,5,3,True,2.3661,32,False
251007_151312,1,4,0.50817,0.7083,3.422,1.66,-116.786,-4.8694,-4.65792,5.6492,50.0,1.76307,8.22409,23.2364,-24.5481,R,True,,강민호,7,,N/A,L,체인지업,130,B,1,0,2,2,2,6,5,3,True,1.0025,14,True
251007_151337,1,5,0.725294,0.7083,3.422,1.66,-115.356,-5.57387,-4.61513,5.6609,50.0,1.83532,9.53731,22.3864,-23.5056,R,True,,강민호,7,,N/A,L,체인지업,129,B,1,0,2,3,2,6,5,3,True,0.7179,15,True
251007_151408,1,6,1.16658,0.7083,3.422,1.66,-132.491,-4.19737,-3.00743,6.27752,50.0,1.28589,13.8427,31.8547,-12.5552,R,True,,강민호,7,,N/A,L,직구,148,B,1,0,2,4,2,6,5,3,True,3.6285,55,True
