pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250902_183111,1,1,-1.08676,0.7083,3.214,1.559,-131.197,-3.8407,4.55825,6.47087,50.0,-1.22951,-21.5097,24.3055,-28.9454,L,2.6865,False,0,0,0,1,0,0,0,0,55146,R,LG,치리노스,55530,LT,1,박찬형,False,투심,149,B,False,41,몸에 맞는 볼,사구,1,0,0,0
250902_183122,1,2,1.98056,0.7083,3.214,1.559,-131.226,-9.35297,10.1028,6.33786,50.0,-0.836894,-14.782,25.373,-21.4725,L,0.9469,False,0,0,0,3,0,0,0,0,55146,R,LG,치리노스,55530,LT,1,박찬형,False,투심,146,B,True,15,몸에 맞는 볼,사구,1,0,0,0
250902_183204,1,1,-0.863295,0.7083,3.457,1.677,-120.935,1.50504,1.13367,6.53532,50.0,-1.34659,0.004371,24.4882,-35.6865,L,3.8503,False,0,0,0,1,0,1,0,0,55146,R,LG,치리노스,69517,LT,2,고승민,True,스위퍼,134,B,True,51,유격수 병살타 아웃 (유격수->2루수->1루수 송구아웃),유병,0,0,0,0
250902_183224,1,2,-0.674543,0.7083,3.457,1.677,-120.187,-3.06373,2.68632,6.56028,50.0,-1.02178,-8.77908,21.6532,-38.1895,L,1.6556,False,0,0,0,1,0,1,0,0,55146,R,LG,치리노스,69517,LT,2,고승민,True,포크,133,H,False,12,유격수 병살타 아웃 (유격수->2루수->1루수 송구아웃),유병,0,0,0,0
250902_183300,1,1,1.56935,0.7083,3.446,1.671,-132.822,-9.52873,9.23125,6.29857,50.0,-0.777202,-16.3761,28.3925,-22.8077,R,0.7934,False,0,0,0,1,2,0,0,0,55146,R,LG,치리노스,52591,LT,3,윤동희,False,투심,148,B,True,15,우익수 오른쪽 2루타,우2,0,3,0,0
250902_183314,1,2,0.811575,0.7083,3.446,1.671,-117.607,0.240862,3.45081,6.59024,50.0,-1.33953,6.86947,19.7472,-34.1291,R,3.3702,False,0,0,1,1,2,0,0,0,55146,R,LG,치리노스,52591,LT,3,윤동희,False,스위퍼,131,T,True,45,우익수 오른쪽 2루타,우2,0,3,0,0
250902_183327,1,3,0.217648,0.7083,3.446,1.671,-118.047,-1.98543,1.47609,6.5761,50.0,-1.26556,8.9651,20.2344,-31.0217,R,2.697,False,0,0,2,1,2,0,0,0,55146,R,LG,치리노스,52591,LT,3,윤동희,False,스위퍼,131,F,False,33,우익수 오른쪽 2루타,우2,0,3,0,0
250902_183344,1,4,1.06172,0.7083,3.446,1.671,-124.981,-8.79042,4.64839,6.85125,50.0,-0.464135,-4.61338,27.0325,-19.9529,R,1.4157,False,0,0,2,1,2,0,0,0,55146,R,LG,치리노스,52591,LT,3,윤동희,False,포크,138,F,True,15,우익수 오른쪽 2루타,우2,0,3,0,0
250902_183406,1,5,0.620907,0.7083,3.446,1.671,-134.95,-11.4162,7.24817,6.4028,50.0,-0.695886,-19.9067,28.8564,-19.2841,R,0.5505,False,0,0,2,2,2,0,0,0,55146,R,LG,치리노스,52591,LT,3,윤동희,False,투심,150,B,True,14,우익수 오른쪽 2루타,우2,0,3,0,0
250902_183423,1,6,0.620355,0.7083,3.446,1.671,-126.291,-5.27844,4.14447,6.64958,50.0,-0.954162,-1.24606,21.9244,-27.8233,R,2.1378,False,0,0,2,2,2,0,0,0,55146,R,LG,치리노스,52591,LT,3,윤동희,False,스위퍼,141,H,False,24,우익수 오른쪽 2루타,우2,0,3,0,0
250902_183518,1,1,0.230005,0.7083,3.579,1.736,-121.133,-2.92497,1.44599,6.55281,50.0,-1.26644,9.81351,23.2863,-31.3466,L,2.3874,False,0,0,1,0,2,0,3,0,55146,R,LG,치리노스,54529,LT,4,레이예스,True,스위퍼,134,T,False,33,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,3,0,0
250902_183534,1,2,-0.969575,0.7083,3.579,1.736,-135.424,-6.58209,5.13944,6.38281,50.0,-0.966662,-27.1778,27.9298,-29.6205,L,1.6633,False,0,0,1,0,2,0,3,0,55146,R,LG,치리노스,54529,LT,4,레이예스,True,투심,150,H,False,11,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,3,0,0
250902_183817,1,1,-0.915408,0.7083,3.133,1.52,-131.559,-5.06429,1.60513,5.69962,50.0,-0.973581,-7.47563,25.6622,-19.2589,L,2.193,True,0,0,0,1,0,0,0,0,64021,R,LT,박세웅,65207,LG,1,신민재,False,직구,146,B,False,31,투수 땅볼 아웃 (투수->1루수 송구아웃),투땅,0,0,0,0
250902_183832,1,2,0.515057,0.7083,3.133,1.52,-123.627,-4.59183,2.30169,5.7981,50.0,-0.809992,4.30714,23.0432,-26.3189,L,1.5332,True,0,0,1,1,0,0,0,0,64021,R,LT,박세웅,65207,LG,1,신민재,False,슬라이더,137,F,False,24,투수 땅볼 아웃 (투수->1루수 송구아웃),투땅,0,0,0,0
250902_183851,1,3,0.744541,0.7083,3.133,1.52,-120.879,-4.6726,4.77767,5.66054,50.0,-0.681653,-6.68258,22.5473,-28.7665,L,0.9755,True,0,0,1,2,0,0,0,0,64021,R,LT,박세웅,65207,LG,1,신민재,False,포크,134,B,True,15,투수 땅볼 아웃 (투수->1루수 송구아웃),투땅,0,0,0,0
250902_183909,1,4,-0.116888,0.7083,3.133,1.52,-133.093,-5.07206,4.15015,5.62708,50.0,-0.831965,-11.9106,26.3226,-17.0879,L,2.3403,True,0,0,1,2,0,0,0,0,64021,R,LT,박세웅,65207,LG,1,신민재,False,직구,148,H,False,33,투수 땅볼 아웃 (투수->1루수 송구아웃),투땅,0,0,0,0
250902_183945,1,1,0.197382,0.7083,3.186,1.545,-122.233,-0.617626,3.47144,5.90224,50.0,-0.912104,-3.94475,22.7844,-29.6294,L,2.9511,True,0,0,1,0,1,0,0,0,64021,R,LT,박세웅,68119,LG,2,문성주,False,슬라이더,136,T,False,43,우익수 오른쪽 1루타,우안,2,0,0,0
250902_183959,1,2,-0.94287,0.7083,3.186,1.545,-132.955,-3.82961,-0.158481,5.77499,50.0,-0.917082,0.474702,28.6316,-18.7757,L,2.8237,True,0,0,1,1,1,0,0,0,64021,R,LT,박세웅,68119,LG,2,문성주,False,직구,148,B,False,41,우익수 오른쪽 1루타,우안,2,0,0,0
250902_184014,1,3,-0.786482,0.7083,3.186,1.545,-133.02,-2.40281,0.927537,5.73902,50.0,-0.965913,-2.39736,29.4444,-23.2422,L,3.0001,True,0,0,2,1,1,0,0,0,64021,R,LT,박세웅,68119,LG,2,문성주,False,직구,147,F,False,41,우익수 오른쪽 1루타,우안,2,0,0,0
250902_184035,1,4,0.452887,0.7083,3.186,1.545,-132.174,-3.00847,5.28317,5.67179,50.0,-1.02989,-7.47422,23.3813,-22.8906,L,2.7353,True,0,0,2,1,1,0,0,0,64021,R,LT,박세웅,68119,LG,2,문성주,False,직구,147,H,False,44,우익수 오른쪽 1루타,우안,2,0,0,0
250902_184120,1,1,-1.09778,0.7083,3.371,1.635,-134.191,-2.48274,2.24288,5.66762,50.0,-1.0408,-12.5069,27.8131,-22.9915,R,2.9712,True,0,0,0,1,1,2,0,0,64021,R,LT,박세웅,53123,LG,3,오스틴,True,직구,148,B,False,41,2루수 땅볼 아웃 (2루수->1루수 송구아웃),2땅,0,2,0,0
250902_184140,1,2,0.162555,0.7083,3.371,1.635,-122.948,-0.009549,1.811,5.8973,50.0,-0.992268,4.62321,21.929,-33.8908,R,2.8669,True,0,0,1,1,1,2,0,0,64021,R,LT,박세웅,53123,LG,3,오스틴,True,슬라이더,136,F,False,43,2루수 땅볼 아웃 (2루수->1루수 송구아웃),2땅,0,2,0,0
