pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250903_183029,1,1,0.532535,0.7083,3.446,1.671,-133.463,-4.60887,-6.20974,6.18437,50.0,1.91203,13.6613,30.3478,-10.5478,R,3.5663,False,0,0,0,1,0,0,0,0,54354,L,KT,헤이수스,52591,LT,1,윤동희,False,직구,149,B,True,54,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250903_183042,1,2,0.486671,0.7083,3.446,1.671,-123.596,-4.83182,-8.94525,6.00915,50.0,2.14129,23.8813,24.8232,-17.4119,R,2.414,False,0,0,1,1,0,0,0,0,54354,L,KT,헤이수스,52591,LT,1,윤동희,False,체인지업,138,F,False,34,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250903_183100,1,3,-0.958125,0.7083,3.446,1.671,-133.913,-5.30856,-10.721,6.21101,50.0,1.81247,18.2371,28.1478,-9.21355,R,3.4462,False,0,0,1,2,0,0,0,0,54354,L,KT,헤이수스,52591,LT,1,윤동희,False,직구,149,B,True,51,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250903_183115,1,4,0.595704,0.7083,3.446,1.671,-124.584,-4.95995,-8.86996,5.89611,50.0,2.17346,24.4767,23.1872,-20.5622,R,2.0324,False,0,0,1,2,0,0,0,0,54354,L,KT,헤이수스,52591,LT,1,윤동희,False,체인지업,139,H,False,24,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250903_183149,1,1,0.930613,0.7083,3.457,1.677,-135.192,-4.87526,-6.97936,6.14664,50.0,2.03936,21.3701,29.5578,-11.8988,L,3.377,False,0,0,0,1,1,0,0,0,54354,L,KT,헤이수스,69517,LT,2,고승민,False,투심,151,B,True,45,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250903_183203,1,2,-0.393242,0.7083,3.457,1.677,-134.408,-7.8918,-9.25218,6.06993,50.0,1.86349,17.5042,27.8225,-4.78475,L,2.6522,False,0,0,1,1,1,0,0,0,54354,L,KT,헤이수스,69517,LT,2,고승민,False,직구,150,T,False,32,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250903_183217,1,3,-0.255585,0.7083,3.457,1.677,-133.302,-5.30315,-9.20731,6.15461,50.0,1.87773,19.0775,29.5022,-9.7072,L,3.329,False,0,0,2,1,1,0,0,0,54354,L,KT,헤이수스,69517,LT,2,고승민,False,직구,149,F,False,42,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250903_183235,1,4,1.14835,0.7083,3.457,1.677,-136.383,-5.74689,-7.67118,6.10177,50.0,2.11474,27.0616,31.6321,-11.5302,L,3.0481,False,0,0,2,1,1,0,0,0,54354,L,KT,헤이수스,69517,LT,2,고승민,False,투심,152,H,True,45,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250903_183309,1,1,-0.124578,0.7083,3.459,1.678,-124.263,-3.50759,-9.17688,6.05908,50.0,1.93302,20.295,21.1194,-19.61,L,2.8896,False,0,0,1,0,2,0,0,0,54354,L,KT,헤이수스,51551,LT,3,나승엽,False,체인지업,139,T,False,43,삼진 아웃,삼진,0,0,0,0
250903_183322,1,2,-0.256406,0.7083,3.459,1.678,-126.728,-10.2078,-7.14099,5.87439,50.0,2.16773,5.69124,24.4317,-17.1793,L,0.2312,False,0,0,1,1,2,0,0,0,54354,L,KT,헤이수스,51551,LT,3,나승엽,False,슬라이더,141,B,True,12,삼진 아웃,삼진,0,0,0,0
