pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250905_183018,1,1,-1.18076,0.7083,3.214,1.559,-137.294,-3.7218,3.85009,5.97339,50.0,-1.62285,-14.2367,32.0104,-11.8295,L,3.6959,False,0,0,0,1,0,0,0,0,55855,R,SK,화이트,55530,LT,1,박찬형,False,직구,152,B,True,51,중견수 플라이 아웃,중비,0,0,0,0
250905_183033,1,2,-0.118648,0.7083,3.214,1.559,-137.56,-6.12305,6.30439,5.85271,50.0,-1.39469,-15.457,28.2133,-12.3282,L,2.6559,False,0,0,0,1,0,0,0,0,55855,R,SK,화이트,55530,LT,1,박찬형,False,직구,152,H,False,33,중견수 플라이 아웃,중비,0,0,0,0
250905_183109,1,1,-0.420526,0.7083,3.457,1.677,-138.505,-6.24667,6.31576,5.86171,50.0,-1.40033,-19.8251,28.5669,-12.1623,L,2.6582,False,0,0,0,0,1,0,0,0,55855,R,SK,화이트,69517,LT,2,고승민,False,직구,154,H,False,32,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250905_183143,1,1,0.735964,0.7083,3.446,1.671,-137.397,-6.95194,9.06846,5.85441,50.0,-1.27043,-19.8196,30.9688,-10.1172,R,2.4801,False,0,0,1,0,2,0,0,0,55855,R,SK,화이트,52591,LT,3,윤동희,False,직구,152,T,True,35,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250905_183158,1,2,1.12028,0.7083,3.446,1.671,-129.788,-4.93707,7.58009,5.76759,50.0,-1.41445,-5.84433,24.2936,-27.0164,R,1.6277,False,0,0,2,0,2,0,0,0,55855,R,SK,화이트,52591,LT,3,윤동희,False,커터,144,S,True,15,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250905_183215,1,3,-0.661811,0.7083,3.446,1.671,-138.946,-5.35726,5.99697,5.83083,50.0,-1.48014,-20.4904,28.5351,-13.2285,R,2.8996,False,0,0,2,0,2,0,0,0,55855,R,SK,화이트,52591,LT,3,윤동희,False,직구,154,H,False,42,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250905_183528,1,1,-0.483264,0.7083,3.334,1.617,-131.758,-4.85627,5.20132,5.42801,50.0,-1.41639,-14.4031,27.6776,-13.683,L,2.4326,True,0,0,1,0,0,0,0,0,55526,R,LT,벨라스케즈,67893,SK,1,박성한,False,직구,146,T,False,32,삼진 아웃,삼진,0,0,0,0
250905_183543,1,2,0.603827,0.7083,3.334,1.617,-114.368,-1.71401,4.33336,5.51526,50.0,-1.50042,1.61392,19.5805,-37.5553,L,0.8498,True,0,0,2,0,0,0,0,0,55526,R,LT,벨라스케즈,67893,SK,1,박성한,False,커브,127,S,True,14,삼진 아웃,삼진,0,0,0,0
250905_183608,1,3,-1.39742,0.7083,3.334,1.617,-120.035,-1.39296,4.61533,5.56931,50.0,-1.78172,-17.4469,19.7615,-25.7853,L,2.5627,True,0,0,2,1,0,0,0,0,55526,R,LT,벨라스케즈,67893,SK,1,박성한,False,체인지업,133,B,True,31,삼진 아웃,삼진,0,0,0,0
250905_183626,1,4,-0.648632,0.7083,3.334,1.617,-134.146,-2.6244,4.1608,5.38798,50.0,-1.59524,-8.7962,24.5798,-15.5436,L,3.2135,True,0,0,3,1,0,0,0,0,55526,R,LT,벨라스케즈,67893,SK,1,박성한,False,직구,148,T,False,42,삼진 아웃,삼진,0,0,0,0
