pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250910_183022,1,1,-0.942044,0.7083,3.21,1.557,-133.203,-6.15017,-6.93659,6.20585,50.0,1.21895,6.92017,28.1392,-16.0852,L,2.5646,False,0,0,0,1,0,0,0,0,55532,L,LT,감보아,77532,HH,1,손아섭,False,직구,149,B,False,31,중견수 왼쪽 1루타,중안,1,0,0,0
250910_183037,1,2,-0.491408,0.7083,3.21,1.557,-135.856,-9.73779,-4.03985,6.1005,50.0,1.09657,-0.717704,32.7283,-13.6134,L,1.3278,False,0,0,1,1,0,0,0,0,55532,L,LT,감보아,77532,HH,1,손아섭,False,직구,151,S,False,12,중견수 왼쪽 1루타,중안,1,0,0,0
250910_183054,1,3,-0.184335,0.7083,3.21,1.557,-137.361,-8.12586,-4.19404,6.34073,50.0,1.15929,3.34829,35.333,-8.65983,L,2.595,False,0,0,1,1,0,0,0,0,55532,L,LT,감보아,77532,HH,1,손아섭,False,직구,152,H,False,33,중견수 왼쪽 1루타,중안,1,0,0,0
250910_183137,1,1,0.054989,0.7083,3.417,1.657,-136.477,-7.58715,-4.14489,6.20342,50.0,1.14066,6.74794,33.2218,-16.3426,L,2.0803,False,0,0,0,0,0,1,0,0,55532,L,LT,감보아,55703,HH,2,리베라토,True,직구,151,H,False,23,중견수 플라이 아웃,중비,1,0,0,0
250910_183220,1,1,-0.044914,0.7083,3.17,1.537,-136.142,-9.58093,-5.42257,6.18449,50.0,1.33778,9.36795,32.4352,-11.4553,L,1.6481,False,0,0,1,0,1,1,0,0,55532,L,LT,감보아,53764,HH,3,문현빈,True,직구,152,T,False,23,좌익수 왼쪽 2루타,좌2,0,3,1,0
250910_183238,1,2,-0.838503,0.7083,3.17,1.537,-116.55,-1.01869,-3.37311,6.37359,50.0,1.30377,-6.49245,25.716,-41.7983,L,1.6535,False,0,0,2,0,1,1,0,0,55532,L,LT,감보아,53764,HH,3,문현빈,True,커브,129,T,False,21,좌익수 왼쪽 2루타,좌2,0,3,1,0
250910_183258,1,3,0.214021,0.7083,3.17,1.537,-137.903,-6.40095,-3.35619,6.20322,50.0,1.03229,6.24897,32.8244,-16.9112,L,2.5533,False,0,0,2,0,1,1,0,0,55532,L,LT,감보아,53764,HH,3,문현빈,True,직구,153,H,False,33,좌익수 왼쪽 2루타,좌2,0,3,1,0
250910_183356,1,1,0.235092,0.7083,3.349,1.624,-136.992,-4.77794,-4.99204,6.12161,50.0,1.26544,11.9761,31.0102,-21.1711,R,2.7588,False,0,0,0,0,1,0,3,1,55532,L,LT,감보아,69737,HH,4,노시환,True,직구,152,H,False,33,중견수 희생플라이 아웃,중희비,0,3,0,1
250910_183452,1,1,0.250768,0.7083,3.426,1.662,-116.271,-0.552483,-3.12423,6.51008,50.0,1.6492,-0.013321,27.03,-33.8948,R,2.7663,False,0,1,1,0,2,0,3,0,55532,L,LT,감보아,79192,HH,5,채은성,True,커브,128,T,False,34,중견수 앞 1루타,중안,5,0,0,1
250910_183513,1,2,0.674588,0.7083,3.426,1.662,-123.832,-4.65285,-2.41827,6.22329,50.0,1.60177,0.922618,26.3307,-34.7524,R,1.1504,False,0,1,1,0,2,0,3,0,55532,L,LT,감보아,79192,HH,5,채은성,True,슬라이더,137,H,False,14,중견수 앞 1루타,중안,5,0,0,1
