pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250913_170117,1,1,-1.03474,0.7083,3.334,1.617,-133.911,-0.078772,3.17717,5.43459,50.0,-1.95464,-4.06184,28.202,-21.4908,L,3.775,False,0,0,0,1,0,0,0,0,55526,R,LT,벨라스케즈,67893,SK,1,박성한,False,직구,149,B,True,51,삼진 아웃,삼진,0,0,0,0
250913_170141,1,2,-1.13131,0.7083,3.334,1.617,-132.316,-1.91243,3.22699,5.33203,50.0,-1.93355,-5.9598,25.015,-22.4559,L,2.8523,False,0,0,0,2,0,0,0,0,55526,R,LT,벨라스케즈,67893,SK,1,박성한,False,직구,148,B,False,41,삼진 아웃,삼진,0,0,0,0
250913_170155,1,3,0.939194,0.7083,3.334,1.617,-132.797,-4.46504,7.12033,5.32135,50.0,-1.57756,-3.23191,28.9422,-19.3638,L,2.0667,False,0,0,0,3,0,0,0,0,55526,R,LT,벨라스케즈,67893,SK,1,박성한,False,직구,148,B,True,25,삼진 아웃,삼진,0,0,0,0
250913_170212,1,4,-0.852559,0.7083,3.334,1.617,-131.028,-1.1215,3.84879,5.30259,50.0,-1.97654,-4.99691,26.2813,-25.273,L,2.8608,False,0,0,1,3,0,0,0,0,55526,R,LT,벨라스케즈,67893,SK,1,박성한,False,직구,146,T,False,41,삼진 아웃,삼진,0,0,0,0
250913_170230,1,5,-0.150313,0.7083,3.334,1.617,-134.385,-2.11725,5.71323,5.31601,50.0,-1.84517,-6.70059,28.6965,-24.8484,L,2.6223,False,0,0,2,3,0,0,0,0,55526,R,LT,벨라스케즈,67893,SK,1,박성한,False,직구,150,T,False,33,삼진 아웃,삼진,0,0,0,0
250913_170246,1,6,0.034696,0.7083,3.334,1.617,-134.305,-1.20499,6.38038,5.52331,50.0,-1.76554,-8.77227,29.2472,-18.4709,L,3.6592,False,0,0,3,3,0,0,0,0,55526,R,LT,벨라스케즈,67893,SK,1,박성한,False,직구,150,S,True,53,삼진 아웃,삼진,0,0,0,0
250913_170317,1,1,-0.022332,0.7083,3.303,1.602,-120.623,-1.52487,3.66566,5.50387,50.0,-2.04267,5.30683,18.2894,-28.2065,R,2.2619,False,0,0,1,0,1,0,0,0,55526,R,LT,벨라스케즈,53827,SK,2,에레디아,False,슬라이더,134,T,False,33,중견수 앞 1루타,중안,2,0,0,0
250913_170331,1,2,-0.504246,0.7083,3.303,1.602,-114.6,0.505665,1.8315,5.64244,50.0,-1.9272,6.02595,19.892,-43.7579,R,1.3584,False,0,0,1,1,1,0,0,0,55526,R,LT,벨라스케즈,53827,SK,2,에레디아,False,커브,127,B,False,12,중견수 앞 1루타,중안,2,0,0,0
250913_170348,1,3,-0.004351,0.7083,3.303,1.602,-115.911,1.66911,2.39693,5.6852,50.0,-1.76803,7.17836,20.4662,-43.6816,R,2.0283,False,0,0,2,1,1,0,0,0,55526,R,LT,벨라스케즈,53827,SK,2,에레디아,False,커브,128,F,False,23,중견수 앞 1루타,중안,2,0,0,0
250913_170427,1,4,1.3018,0.7083,3.303,1.602,-115.303,-3.53975,5.1934,5.55229,50.0,-1.75524,7.31063,23.1582,-41.6724,R,-0.3578,False,0,0,2,2,1,0,0,0,55526,R,LT,벨라스케즈,53827,SK,2,에레디아,False,커브,128,B,True,15,중견수 앞 1루타,중안,2,0,0,0
250913_170452,1,5,1.00614,0.7083,3.303,1.602,-135.565,-4.1233,8.92459,5.26624,50.0,-1.76718,-8.83893,36.8988,-19.8092,R,2.1579,False,0,0,2,3,1,0,0,0,55526,R,LT,벨라스케즈,53827,SK,2,에레디아,False,직구,150,B,True,25,중견수 앞 1루타,중안,2,0,0,0
250913_170517,1,6,-0.890164,0.7083,3.303,1.602,-119.048,2.61108,1.0494,5.66406,50.0,-2.04541,7.73509,17.4703,-37.5316,R,3.2653,False,0,0,2,3,1,0,0,0,55526,R,LT,벨라스케즈,53827,SK,2,에레디아,False,슬라이더,133,F,False,41,중견수 앞 1루타,중안,2,0,0,0
