pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250919_183114,1,1,-0.169394,0.7083,3.15,1.528,-134.575,-13.5673,2.3796,6.39168,50.0,-0.223309,-11.6996,30.1849,-9.7853,L,0.383,False,0,0,0,1,0,0,0,0,55903,R,NC,라일리,50500,LT,1,황성빈,False,직구,150,B,True,13,투수 맞고 1루수 내야안타,투1안,1,0,0,0
250919_183130,1,2,-0.199407,0.7083,3.15,1.528,-134.034,-8.29013,1.79765,6.72488,50.0,-0.200714,-9.33313,30.3498,-9.78501,L,2.7441,False,0,0,1,1,0,0,0,0,55903,R,NC,라일리,50500,LT,1,황성빈,False,직구,149,F,False,43,투수 맞고 1루수 내야안타,투1안,1,0,0,0
250919_183153,1,3,-0.550708,0.7083,3.15,1.528,-135.04,-11.1407,0.49626,6.54499,50.0,-0.117959,-8.56752,29.7358,-10.3693,L,1.4612,False,0,0,1,1,0,0,0,0,55903,R,NC,라일리,50500,LT,1,황성빈,False,직구,150,H,False,12,투수 맞고 1루수 내야안타,투1안,1,0,0,0
250919_183237,1,1,-0.412887,0.7083,3.457,1.677,-134.801,-8.39545,0.66637,6.68886,50.0,-0.217423,-6.16537,30.3637,-9.5161,L,2.7168,False,0,0,0,0,0,1,0,0,55903,R,NC,라일리,69517,LT,2,고승민,True,직구,149,H,False,32,좌익수 플라이 아웃,좌비,1,0,0,0
250919_183325,1,1,0.679879,0.7083,3.446,1.671,-123.494,-5.49806,2.55352,6.66836,50.0,-0.377736,-0.049907,23.8862,-30.5458,R,1.6263,False,0,0,1,0,1,1,0,0,55903,R,NC,라일리,52591,LT,3,윤동희,True,슬라이더,137,T,False,14,삼진 아웃,삼진,0,1,0,0
250919_183349,1,2,0.998211,0.7083,3.446,1.671,-118.866,-11.2233,2.72584,6.55465,50.0,-0.010385,-1.90014,27.0944,-38.6028,R,-2.2054,False,0,0,1,1,1,1,0,0,55903,R,NC,라일리,52591,LT,3,윤동희,True,커브,132,B,True,15,삼진 아웃,삼진,0,1,0,0
250919_183433,1,3,1.08233,0.7083,3.446,1.671,-118.31,-5.56565,2.62076,6.75618,50.0,-0.078217,0.135046,26.2314,-40.7289,R,0.2581,False,0,0,1,2,1,0,1,0,55903,R,NC,라일리,52591,LT,3,윤동희,True,커브,131,B,True,15,삼진 아웃,삼진,0,1,0,0
250919_183501,1,4,0.065752,0.7083,3.446,1.671,-123.362,-2.72374,0.842946,6.86641,50.0,-0.288459,0.036035,24.0759,-30.3459,R,3.0033,False,0,0,2,2,1,0,1,0,55903,R,NC,라일리,52591,LT,3,윤동희,True,슬라이더,136,T,False,43,삼진 아웃,삼진,0,1,0,0
250919_183522,1,5,0.392279,0.7083,3.446,1.671,-137.179,-10.981,1.91115,6.5739,50.0,0.052822,-5.36209,33.9971,-9.07589,R,1.7079,False,0,0,3,2,1,0,1,0,55903,R,NC,라일리,52591,LT,3,윤동희,True,직구,152,T,False,24,삼진 아웃,삼진,0,1,0,0
250919_183553,1,1,0.930614,0.7083,3.579,1.736,-121.576,-7.70982,4.41593,6.60001,50.0,-0.032611,-10.1105,22.2686,-21.0185,L,1.3743,False,0,0,1,0,2,0,1,0,55903,R,NC,라일리,54529,LT,4,레이예스,True,포크,135,S,True,15,좌익수 플라이 아웃,좌비,0,1,0,0
250919_183614,1,2,-0.27216,0.7083,3.579,1.736,-122.655,-7.75932,2.57166,6.61453,50.0,-0.243124,-12.6518,22.0199,-19.7347,L,1.5544,False,0,0,1,0,2,0,1,0,55903,R,NC,라일리,54529,LT,4,레이예스,True,포크,136,H,False,12,좌익수 플라이 아웃,좌비,0,1,0,0
250919_183830,1,1,-0.980466,0.7083,3.408,1.653,-129.738,-3.67955,1.14573,6.14996,50.0,-0.927928,-6.4582,26.449,-14.2605,L,3.5199,True,0,0,0,1,0,0,0,0,67539,R,LT,나균안,51907,NC,1,김주원,False,직구,144,B,True,51,볼넷,4구,1,0,0,0
250919_183852,1,2,-1.47335,0.7083,3.408,1.653,-130.074,-3.78438,1.31302,5.94397,50.0,-1.00581,-12.5773,28.8364,-18.3839,L,2.9334,True,0,0,0,2,0,0,0,0,67539,R,LT,나균안,51907,NC,1,김주원,False,직구,144,B,True,41,볼넷,4구,1,0,0,0
250919_183909,1,3,0.220635,0.7083,3.408,1.653,-129.97,-3.62507,4.35599,6.13514,50.0,-0.819397,-8.71609,25.1947,-13.1447,L,3.6315,True,0,0,0,3,0,0,0,0,67539,R,LT,나균안,51907,NC,1,김주원,False,직구,144,B,True,53,볼넷,4구,1,0,0,0
250919_183927,1,4,0.436667,0.7083,3.408,1.653,-130.165,-8.90196,5.30521,5.85349,50.0,-0.763388,-11.4869,28.4574,-11.4868,L,1.3498,True,0,0,0,4,0,0,0,0,67539,R,LT,나균안,51907,NC,1,김주원,False,직구,144,B,False,14,볼넷,4구,1,0,0,0
250919_184026,1,1,0.841717,0.7083,3.276,1.589,-114.813,-4.8415,5.94575,6.06094,50.0,-0.754713,-10.6451,22.2532,-24.8692,L,1.274,True,0,0,0,1,0,1,0,0,67539,R,LT,나균안,66606,NC,2,최원준,True,포크,127,B,True,15,1루수 희생번트 아웃 (1루수->2루수 1루 터치아웃),1희번,0,1,0,0
250919_184052,1,2,0.670408,0.7083,3.276,1.589,-128.231,-5.62837,5.39219,5.97415,50.0,-0.809381,-8.47272,25.5468,-13.2777,L,2.5906,True,0,0,0,1,0,1,0,0,67539,R,LT,나균안,66606,NC,2,최원준,True,직구,143,H,False,34,1루수 희생번트 아웃 (1루수->2루수 1루 터치아웃),1희번,0,1,0,0
250919_184136,1,1,-1.19607,0.7083,3.338,1.619,-107.285,0.103122,-1.43614,6.35172,50.0,-1.00285,4.30553,19.3089,-41.8794,R,1.427,True,0,0,0,1,1,0,1,0,67539,R,LT,나균안,79215,NC,3,박건우,True,커브,119,B,True,11,1루수 파울플라이 아웃,1파,0,1,0,0
250919_184155,1,2,0.069285,0.7083,3.338,1.619,-118.689,-0.604658,1.87035,6.24682,50.0,-0.794092,0.547556,23.6063,-30.0782,R,3.0613,True,0,0,0,1,1,0,1,0,67539,R,LT,나균안,79215,NC,3,박건우,True,커터,131,H,False,43,1루수 파울플라이 아웃,1파,0,1,0,0
250919_184246,1,1,0.525631,0.7083,3.503,1.699,-121.976,-6.29491,3.68459,5.94226,50.0,-0.832369,-2.19211,23.7309,-31.9162,R,0.3305,True,0,0,0,1,2,0,1,0,67539,R,LT,나균안,54944,NC,4,데이비슨,True,커터,135,B,True,14,삼진 아웃,삼진,0,1,0,0
250919_184312,1,2,-0.83264,0.7083,3.503,1.699,-131.056,-1.98653,1.57701,6.15933,50.0,-0.851732,-7.75709,30.3674,-10.6758,R,4.5103,True,0,0,1,1,2,0,1,0,67539,R,LT,나균안,54944,NC,4,데이비슨,True,직구,145,S,True,51,삼진 아웃,삼진,0,1,0,0
250919_184336,1,3,0.290634,0.7083,3.503,1.699,-120.0,-7.5554,5.4342,5.93645,50.0,-0.727207,-14.2598,25.8825,-23.518,R,0.384,True,0,0,1,2,2,0,1,0,67539,R,LT,나균안,54944,NC,4,데이비슨,True,포크,133,B,True,14,삼진 아웃,삼진,0,1,0,0
250919_184418,1,4,-0.213023,0.7083,3.503,1.699,-132.674,-6.99896,3.23308,5.91293,50.0,-0.784158,-9.07442,30.4234,-11.5607,R,2.2496,True,0,0,2,2,2,0,1,0,67539,R,LT,나균안,54944,NC,4,데이비슨,True,직구,147,S,False,23,삼진 아웃,삼진,0,1,0,0
250919_184442,1,5,0.494576,0.7083,3.503,1.699,-121.094,-7.24222,4.93152,5.95508,50.0,-0.544441,-11.7027,23.4753,-26.9683,R,0.3307,True,0,0,2,3,2,0,1,0,67539,R,LT,나균안,54944,NC,4,데이비슨,True,포크,134,B,True,14,삼진 아웃,삼진,0,1,0,0
250919_184508,1,6,0.045806,0.7083,3.503,1.699,-131.743,-3.165,4.38142,6.11994,50.0,-0.737499,-12.1599,30.3857,-11.1221,R,3.9811,True,0,0,3,3,2,0,1,0,67539,R,LT,나균안,54944,NC,4,데이비슨,True,직구,146,S,True,53,삼진 아웃,삼진,0,1,0,0
