pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250920_170107,1,1,-0.702074,0.7083,3.433,1.665,-135.752,-6.0844,-6.4243,6.01082,50.0,1.20822,7.31496,30.4559,-17.8413,L,2.3468,False,0,0,1,0,0,0,0,0,55532,L,LT,감보아,50357,WO,1,박주홍,False,직구,150,T,False,32,좌중간 2루타,좌중2,0,1,0,0
250920_170122,1,2,-0.561958,0.7083,3.433,1.665,-135.624,-6.14064,-5.92066,5.93779,50.0,1.11087,7.81967,23.7384,-21.0783,L,2.0627,False,0,0,2,0,0,0,0,0,55532,L,LT,감보아,50357,WO,1,박주홍,False,직구,152,T,False,22,좌중간 2루타,좌중2,0,1,0,0
250920_170139,1,3,-0.560747,0.7083,3.433,1.665,-137.48,-8.71449,-5.41046,6.0686,50.0,0.824799,9.05776,26.3685,-12.9188,L,1.8605,False,0,0,2,0,0,0,0,0,55532,L,LT,감보아,50357,WO,1,박주홍,False,직구,154,F,False,22,좌중간 2루타,좌중2,0,1,0,0
250920_170200,1,4,-0.328957,0.7083,3.433,1.665,-124.825,-1.58679,-4.54784,5.97079,50.0,1.68071,-1.64979,24.1187,-33.2975,L,2.408,False,0,0,2,0,0,0,0,0,55532,L,LT,감보아,50357,WO,1,박주홍,False,슬라이더,138,H,False,32,좌중간 2루타,좌중2,0,1,0,0
250920_170254,1,1,-0.549807,0.7083,3.331,1.615,-111.075,5.74783,-3.14776,6.58344,50.0,1.56398,-6.04338,21.2954,-36.8773,L,5.195,False,0,0,0,1,0,0,1,0,55532,L,LT,감보아,65357,WO,2,송성문,True,커브,123,B,True,52,좌익수 뒤 홈런 (홈런거리:110M),좌홈,0,0,0,2
250920_170312,1,2,0.27533,0.7083,3.331,1.615,-136.553,-4.31069,-4.15649,6.0044,50.0,1.38998,6.42121,34.7892,-23.5038,L,2.6023,False,0,0,1,1,0,0,1,0,55532,L,LT,감보아,65357,WO,2,송성문,True,직구,151,F,False,34,좌익수 뒤 홈런 (홈런거리:110M),좌홈,0,0,0,2
250920_170351,1,3,0.767846,0.7083,3.331,1.615,-121.428,1.82879,-3.24579,6.30199,50.0,2.03617,1.17932,23.5515,-34.6401,L,3.8902,False,0,0,2,1,0,0,1,0,55532,L,LT,감보아,65357,WO,2,송성문,True,슬라이더,135,S,True,55,좌익수 뒤 홈런 (홈런거리:110M),좌홈,0,0,0,2
250920_170415,1,4,-0.780184,0.7083,3.331,1.615,-137.058,-5.79363,-6.39594,6.54048,50.0,1.15461,6.67924,32.656,-8.0258,L,3.7399,False,0,0,2,2,0,0,1,0,55532,L,LT,감보아,65357,WO,2,송성문,True,직구,152,B,True,51,좌익수 뒤 홈런 (홈런거리:110M),좌홈,0,0,0,2
250920_170436,1,5,0.067711,0.7083,3.331,1.615,-127.854,-8.92869,-4.63996,5.92378,50.0,1.87958,0.712965,27.4569,-25.3669,L,0.1495,False,0,0,2,3,0,0,1,0,55532,L,LT,감보아,65357,WO,2,송성문,True,슬라이더,141,B,True,13,좌익수 뒤 홈런 (홈런거리:110M),좌홈,0,0,0,2
250920_170516,1,6,0.738113,0.7083,3.331,1.615,-124.33,-3.18336,-2.69619,6.25592,50.0,2.00851,-1.75011,27.0654,-25.3407,L,2.6632,False,0,0,2,3,0,0,0,1,55532,L,LT,감보아,65357,WO,2,송성문,True,슬라이더,138,F,True,35,좌익수 뒤 홈런 (홈런거리:110M),좌홈,0,0,0,2
250920_170542,1,7,-0.002808,0.7083,3.331,1.615,-138.97,-5.46742,-3.85544,6.12615,50.0,1.21487,3.09586,33.1761,-14.5651,L,3.0328,False,0,0,2,3,0,0,0,1,55532,L,LT,감보아,65357,WO,2,송성문,True,직구,154,H,False,43,좌익수 뒤 홈런 (홈런거리:110M),좌홈,0,0,0,2
250920_170632,1,1,-0.070994,0.7083,3.292,1.597,-136.737,-7.1169,-5.63922,6.12382,50.0,1.3612,9.68925,27.1224,-13.8583,R,2.419,False,0,2,1,0,0,0,0,0,55532,L,LT,감보아,64340,WO,3,임지열,False,직구,153,F,False,33,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250920_170651,1,2,0.273206,0.7083,3.292,1.597,-137.85,-2.74016,-2.98185,6.19041,50.0,1.10412,4.00237,27.0027,-20.2266,R,3.7241,False,0,2,1,1,0,0,0,0,55532,L,LT,감보아,64340,WO,3,임지열,False,직구,153,B,True,54,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250920_170708,1,3,-0.365091,0.7083,3.292,1.597,-125.308,-4.93669,-4.22535,5.89434,50.0,1.70086,-4.0898,22.4161,-31.8206,R,1.1168,False,0,2,1,2,0,0,0,0,55532,L,LT,감보아,64340,WO,3,임지열,False,슬라이더,139,B,False,12,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250920_170729,1,4,-0.338915,0.7083,3.292,1.597,-125.587,-1.25676,-3.66006,6.10972,50.0,1.66146,-6.16054,22.1132,-29.3923,R,3.0818,False,0,2,2,2,0,0,0,0,55532,L,LT,감보아,64340,WO,3,임지열,False,슬라이더,139,F,False,42,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250920_170752,1,5,0.170173,0.7083,3.292,1.597,-123.602,-4.76816,-6.03055,5.8439,50.0,1.71105,11.2034,26.0848,-21.572,R,1.8909,False,0,2,2,2,0,0,0,0,55532,L,LT,감보아,64340,WO,3,임지열,False,체인지업,137,H,False,23,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250920_170830,1,1,0.423027,0.7083,3.387,1.643,-120.525,-1.47412,-4.64649,5.92231,50.0,1.56684,9.20017,21.2943,-24.6424,R,2.9947,False,0,2,1,0,1,0,0,0,55532,L,LT,감보아,53312,WO,4,김건희,False,체인지업,134,T,False,44,삼진 아웃,삼진,0,0,0,0
250920_170846,1,2,-0.749545,0.7083,3.387,1.643,-127.727,-3.91228,-5.83139,5.87748,50.0,1.71363,-1.2379,29.7093,-30.0484,R,1.7297,False,0,2,2,0,1,0,0,0,55532,L,LT,감보아,53312,WO,4,김건희,False,슬라이더,140,T,False,21,삼진 아웃,삼진,0,0,0,0
250920_170903,1,3,-0.094943,0.7083,3.387,1.643,-139.106,-6.1409,-5.57661,6.33951,50.0,1.25638,10.41,32.4014,-6.65658,R,3.5609,False,0,2,2,1,1,0,0,0,55532,L,LT,감보아,53312,WO,4,김건희,False,직구,155,B,True,53,삼진 아웃,삼진,0,0,0,0
250920_170921,1,4,-0.341237,0.7083,3.387,1.643,-138.083,-8.52945,-5.35303,6.24906,50.0,1.09954,8.0605,35.5142,-10.6868,R,2.2269,False,0,2,2,1,1,0,0,0,55532,L,LT,감보아,53312,WO,4,김건희,False,직구,153,F,False,32,삼진 아웃,삼진,0,0,0,0
250920_170952,1,5,0.027239,0.7083,3.387,1.643,-139.323,-3.01771,-3.95384,6.34975,50.0,1.07578,6.09775,36.2588,-12.2327,R,4.3396,False,0,2,2,2,1,0,0,0,55532,L,LT,감보아,53312,WO,4,김건희,False,직구,153,B,True,53,삼진 아웃,삼진,0,0,0,0
250920_171011,1,6,0.062776,0.7083,3.387,1.643,-123.404,-5.6282,-6.16287,5.77573,50.0,1.59849,11.8879,24.2713,-22.3778,R,1.3968,False,0,2,3,2,1,0,0,0,55532,L,LT,감보아,53312,WO,4,김건희,False,체인지업,137,S,False,13,삼진 아웃,삼진,0,0,0,0
250920_171045,1,1,-0.300349,0.7083,3.305,1.603,-137.438,-5.95336,-5.92997,6.15725,50.0,1.12828,11.3056,31.7736,-14.3676,R,2.8515,False,0,2,0,0,2,0,0,0,55532,L,LT,감보아,69332,WO,5,주성원,False,직구,152,H,False,42,2루수 땅볼 아웃 (2루수->1루수 송구아웃),2땅,0,0,0,0
