pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250923_183029,1,1,0.374952,0.7083,3.276,1.589,-132.105,-6.38902,3.33683,5.80128,50.0,-0.451721,-6.27119,33.2692,-11.8347,L,2.3158,False,0,0,1,0,0,0,0,0,64021,R,LT,박세웅,66606,NC,1,최원준,False,직구,147,F,False,34,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250923_183049,1,2,-0.744929,0.7083,3.276,1.589,-132.064,-8.56535,0.956723,5.68636,50.0,-0.625271,-6.38702,36.1565,-13.4614,L,1.1754,False,0,0,1,1,0,0,0,0,64021,R,LT,박세웅,66606,NC,1,최원준,False,직구,147,B,False,11,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250923_183108,1,3,0.171648,0.7083,3.276,1.589,-132.421,-1.93573,2.4277,5.89912,50.0,-0.561223,-2.88455,37.4322,-16.5311,L,3.8004,False,0,0,1,2,0,0,0,0,64021,R,LT,박세웅,66606,NC,1,최원준,False,직구,147,B,True,53,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250923_183128,1,4,0.85179,0.7083,3.276,1.589,-131.692,-4.66758,3.98982,5.86721,50.0,-0.405733,-4.12215,36.9408,-11.5191,L,3.0565,False,0,0,2,2,0,0,0,0,64021,R,LT,박세웅,66606,NC,1,최원준,False,직구,146,F,True,45,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250923_183152,1,5,0.351937,0.7083,3.276,1.589,-119.765,-2.89784,2.04252,5.7856,50.0,-0.436307,-1.03139,27.7533,-28.887,L,1.7158,False,0,0,2,2,0,0,0,0,64021,R,LT,박세웅,66606,NC,1,최원준,False,포크,135,F,False,24,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250923_183218,1,6,-0.484567,0.7083,3.276,1.589,-133.328,-6.07321,1.87898,5.68278,50.0,-0.571154,-8.53133,32.7321,-17.3151,L,1.945,False,0,0,2,2,0,0,0,0,64021,R,LT,박세웅,66606,NC,1,최원준,False,직구,151,H,False,22,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0,0
250923_183300,1,1,-1.59855,0.7083,3.294,1.598,-106.48,8.79097,-3.0172,6.44951,50.0,-0.504427,3.25272,27.4029,-44.9579,L,5.1978,False,0,0,0,1,1,0,0,0,64021,R,LT,박세웅,68904,NC,2,오영수,False,커브,118,B,True,51,삼진 아웃,삼진,0,0,0,0
250923_183315,1,2,-0.677871,0.7083,3.294,1.598,-133.4,-4.09976,1.08515,5.682,50.0,-0.517061,-7.67161,36.4437,-25.3191,L,2.0696,False,0,0,1,1,1,0,0,0,64021,R,LT,박세웅,68904,NC,2,오영수,False,직구,148,T,False,22,삼진 아웃,삼진,0,0,0,0
250923_183349,1,3,-0.858193,0.7083,3.294,1.598,-119.904,-1.75906,-0.454056,5.92021,50.0,-0.607555,-0.58263,27.0612,-26.9346,L,2.5564,False,0,0,2,1,1,0,0,0,64021,R,LT,박세웅,68904,NC,2,오영수,False,포크,132,F,False,31,삼진 아웃,삼진,0,0,0,0
250923_183417,1,4,-1.09042,0.7083,3.294,1.598,-111.363,6.74851,-2.65802,6.20249,50.0,-0.592272,6.80897,26.05,-42.8654,L,4.5666,False,0,0,2,2,1,0,0,0,64021,R,LT,박세웅,68904,NC,2,오영수,False,커브,124,B,True,51,삼진 아웃,삼진,0,0,0,0
