pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250924_183018,1,1,-0.406232,0.7083,3.15,1.528,-130.484,-4.89358,2.41697,6.31731,50.0,-0.562434,-10.2414,28.4057,-12.7801,L,3.3308,False,0,0,0,1,0,0,0,0,53375,R,SS,후라도,50500,LT,1,황성빈,False,직구,146,B,True,52,중견수 앞 1루타,중안,1,0,0,0
250924_183033,1,2,-0.012896,0.7083,3.15,1.528,-131.343,-7.32088,3.26641,6.19553,50.0,-0.444486,-11.0351,30.0133,-13.5142,L,2.2005,False,0,0,1,1,0,0,0,0,53375,R,SS,후라도,50500,LT,1,황성빈,False,직구,145,T,False,33,중견수 앞 1루타,중안,1,0,0,0
250924_183049,1,3,-0.324728,0.7083,3.15,1.528,-121.507,-3.33129,5.75643,5.94093,50.0,-1.08218,-18.7129,25.4575,-26.7492,L,2.0213,False,0,0,1,1,0,0,0,0,53375,R,SS,후라도,50500,LT,1,황성빈,False,체인지업,136,H,False,22,중견수 앞 1루타,중안,1,0,0,0
250924_183129,1,1,-1.29885,0.7083,3.457,1.677,-120.225,-0.625775,2.95658,6.00856,50.0,-1.18226,-15.0387,25.2036,-29.4297,L,2.9413,False,0,0,0,1,0,1,0,0,53375,R,SS,후라도,69517,LT,2,고승민,True,체인지업,134,B,True,41,유격수 앞 땅볼로 출루,유땅,2,0,0,0
250924_183149,1,2,-0.635334,0.7083,3.457,1.677,-126.653,-4.01065,1.88543,6.10543,50.0,-0.960679,-5.33841,26.634,-23.4567,L,2.4528,False,0,0,1,1,0,1,0,0,53375,R,SS,후라도,69517,LT,2,고승민,True,커터,141,T,False,32,유격수 앞 땅볼로 출루,유땅,2,0,0,0
250924_183215,1,3,-0.309489,0.7083,3.457,1.677,-131.139,-2.81392,3.48027,6.3496,50.0,-0.572746,-14.2555,31.688,-15.7323,L,3.9593,False,0,0,1,1,0,1,0,0,53375,R,SS,후라도,69517,LT,2,고승민,True,직구,146,H,True,52,유격수 앞 땅볼로 출루,유땅,2,0,0,0
250924_183302,1,1,-0.26429,0.7083,3.579,1.736,-133.298,-3.17514,3.24772,6.17722,50.0,-0.698593,-10.9494,34.8206,-14.5734,L,3.7814,False,0,0,0,1,1,2,0,0,53375,R,SS,후라도,54529,LT,3,레이예스,True,직구,148,B,True,52,중견수 플라이 아웃,중비,2,0,0,0
250924_183320,1,2,-0.417082,0.7083,3.579,1.736,-126.684,-2.67682,0.491027,6.31605,50.0,-0.700882,1.03148,25.1025,-22.4929,L,3.3107,False,0,0,1,1,1,2,0,0,53375,R,SS,후라도,54529,LT,3,레이예스,True,커터,142,S,False,42,중견수 플라이 아웃,중비,2,0,0,0
250924_183342,1,3,-1.16147,0.7083,3.579,1.736,-121.01,-3.90151,4.14654,5.75899,50.0,-1.18242,-19.185,26.2863,-28.0768,L,1.4278,False,0,0,2,1,1,2,0,0,53375,R,SS,후라도,54529,LT,3,레이예스,True,체인지업,135,S,False,11,중견수 플라이 아웃,중비,2,0,0,0
250924_183407,1,4,-0.191668,0.7083,3.579,1.736,-132.261,-4.80845,3.66746,6.21552,50.0,-0.570032,-13.8184,31.0858,-14.9504,L,3.1336,False,0,0,2,1,1,2,0,0,53375,R,SS,후라도,54529,LT,3,레이예스,True,직구,148,H,False,43,중견수 플라이 아웃,중비,2,0,0,0
250924_183452,1,1,0.089323,0.7083,3.389,1.644,-131.842,-4.45374,3.68356,6.18095,50.0,-0.522101,-10.8462,28.8557,-13.8435,R,3.3274,False,0,0,1,0,2,2,0,0,53375,R,SS,후라도,78513,LT,4,전준우,True,직구,148,F,False,43,투수 땅볼 아웃 (투수->1루수 송구아웃),투땅,2,0,0,0
250924_183519,1,2,1.07616,0.7083,3.389,1.644,-131.291,-6.33693,9.30243,5.77921,50.0,-0.864307,-22.2058,28.3761,-25.3554,R,1.2498,False,0,0,1,1,2,2,0,0,53375,R,SS,후라도,78513,LT,4,전준우,True,투심,146,B,True,15,투수 땅볼 아웃 (투수->1루수 송구아웃),투땅,2,0,0,0
250924_183544,1,3,-0.164052,0.7083,3.389,1.644,-132.12,-4.20675,5.53088,5.96946,50.0,-0.848705,-19.4225,25.6629,-24.0159,R,2.455,False,0,0,1,1,2,2,0,0,53375,R,SS,후라도,78513,LT,4,전준우,True,투심,148,H,False,33,투수 땅볼 아웃 (투수->1루수 송구아웃),투땅,2,0,0,0
250924_183755,1,1,-0.265077,0.7083,3.287,1.594,-128.798,-5.10901,1.4726,5.9862,50.0,-0.066224,-9.89207,25.7657,-14.2904,R,2.7497,True,0,0,0,0,0,0,0,0,69594,R,LT,박진,52415,SS,1,이재현,False,직구,144,H,False,42,좌익수 뒤 홈런 (홈런거리:110M),좌홈,0,0,0,1
250924_183843,1,1,1.21366,0.7083,2.996,1.453,-127.413,-6.36491,4.48299,5.91333,50.0,-0.084499,-6.29979,27.5955,-13.1407,L,2.1911,True,1,0,0,1,0,0,0,0,69594,R,LT,박진,67449,SS,2,김성윤,False,직구,143,B,True,35,우익수 앞 1루타,우안,2,0,0,0
250924_183859,1,2,0.104929,0.7083,2.996,1.453,-112.326,-3.721,0.040061,5.99774,50.0,-0.120054,1.94954,22.7819,-33.4737,L,0.6046,True,1,0,0,1,0,0,0,0,69594,R,LT,박진,67449,SS,2,김성윤,False,슬라이더,125,H,True,13,우익수 앞 1루타,우안,2,0,0,0
250924_183938,1,1,0.455988,0.7083,3.548,1.721,-113.401,-5.02411,1.02335,5.98722,50.0,-0.222867,2.04238,23.1986,-35.3901,L,-0.1284,True,1,0,0,1,0,2,0,0,69594,R,LT,박진,62404,SS,3,구자욱,True,슬라이더,127,B,True,14,2루수 플라이 아웃,2비,0,0,0,0
250924_184025,1,2,0.663322,0.7083,3.548,1.721,-128.04,-5.82472,3.61347,5.95634,50.0,-0.01174,-9.62174,27.526,-12.3928,L,2.5437,True,1,0,0,1,0,2,0,0,69594,R,LT,박진,62404,SS,3,구자욱,True,직구,143,H,False,34,2루수 플라이 아웃,2비,0,0,0,0
250924_184118,1,1,0.237218,0.7083,3.545,1.719,-113.469,-2.39704,0.490074,6.11209,50.0,-0.11399,1.26439,20.058,-34.3756,L,1.3854,True,1,0,0,1,2,0,0,0,69594,R,LT,박진,54400,SS,4,디아즈,False,슬라이더,127,B,False,14,좌익수 플라이 아웃,좌비,0,0,0,0
250924_184135,1,2,-1.17885,0.7083,3.545,1.719,-128.975,-1.79105,-0.243893,6.01979,50.0,-0.233873,-10.5814,29.0284,-16.5519,L,3.9264,True,1,0,0,2,2,0,0,0,69594,R,LT,박진,54400,SS,4,디아즈,False,직구,144,B,True,51,좌익수 플라이 아웃,좌비,0,0,0,0
250924_184153,1,3,-0.216936,0.7083,3.545,1.719,-113.869,-0.202263,-1.25748,6.22307,50.0,-0.105009,4.45528,23.0957,-32.8847,L,2.6414,True,1,0,1,2,2,0,0,0,69594,R,LT,박진,54400,SS,4,디아즈,False,슬라이더,127,T,False,33,좌익수 플라이 아웃,좌비,0,0,0,0
250924_184209,1,4,-0.790477,0.7083,3.545,1.719,-117.893,1.86901,-0.266454,6.21195,50.0,-0.097623,-5.99218,24.9774,-34.0685,L,3.6691,True,1,0,1,3,2,0,0,0,69594,R,LT,박진,54400,SS,4,디아즈,False,포크,131,B,True,51,좌익수 플라이 아웃,좌비,0,0,0,0
250924_184229,1,5,0.670525,0.7083,3.545,1.719,-113.942,-2.65974,1.06286,6.05857,50.0,0.035237,1.54222,20.0785,-30.975,L,1.6045,True,1,0,2,3,2,0,0,0,69594,R,LT,박진,54400,SS,4,디아즈,False,슬라이더,127,F,False,14,좌익수 플라이 아웃,좌비,0,0,0,0
250924_184256,1,6,-0.244625,0.7083,3.545,1.719,-129.101,-5.57532,1.90707,5.86144,50.0,-0.170658,-10.4798,28.3315,-15.9125,L,2.2946,True,1,0,2,3,2,0,0,0,69594,R,LT,박진,54400,SS,4,디아즈,False,직구,144,H,False,22,좌익수 플라이 아웃,좌비,0,0,0,0
