pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250925_183036,1,1,-0.217327,0.7083,3.49,1.693,-135.587,-6.57718,-5.66741,6.58184,50.0,1.33698,8.49182,40.4069,-9.85059,L,3.2507,False,0,0,1,0,0,0,0,0,55532,L,LT,감보아,66108,LG,1,홍창기,False,직구,151,T,False,43,유격수 땅볼 실책으로 출루 (유격수 포구 실책),유실,1,0,0,0
250925_183052,1,2,-0.040983,0.7083,3.49,1.693,-114.272,2.28021,-2.44195,6.59552,50.0,1.37241,-2.79827,29.4148,-38.1265,L,3.5272,False,0,0,1,1,0,0,0,0,55532,L,LT,감보아,66108,LG,1,홍창기,False,커브,127,B,True,53,유격수 땅볼 실책으로 출루 (유격수 포구 실책),유실,1,0,0,0
250925_183108,1,3,-0.797179,0.7083,3.49,1.693,-124.665,-6.42155,-6.05156,6.37935,50.0,1.60676,1.40118,31.5127,-28.761,L,1.0756,False,0,0,2,1,0,0,0,0,55532,L,LT,감보아,66108,LG,1,홍창기,False,슬라이더,139,S,True,11,유격수 땅볼 실책으로 출루 (유격수 포구 실책),유실,1,0,0,0
250925_183127,1,4,-0.242428,0.7083,3.49,1.693,-127.397,-2.36165,-4.56427,6.55062,50.0,1.58931,0.473568,35.052,-29.031,L,3.0516,False,0,0,2,1,0,0,0,0,55532,L,LT,감보아,66108,LG,1,홍창기,False,슬라이더,141,H,False,42,유격수 땅볼 실책으로 출루 (유격수 포구 실책),유실,1,0,0,0
250925_183212,1,1,0.538797,0.7083,3.133,1.52,-137.357,-3.77826,-2.65131,6.77864,50.0,1.20752,4.72188,44.4203,-9.43779,L,4.5992,False,0,0,0,1,0,1,0,0,55532,L,LT,감보아,65207,LG,2,신민재,True,직구,152,B,True,54,중견수 왼쪽 1루타,중안,2,1,0,0
250925_183230,1,2,0.001821,0.7083,3.133,1.52,-120.423,-2.95061,-2.84416,6.47456,50.0,1.6685,-4.69917,29.1518,-26.7622,L,2.6082,False,0,0,1,1,0,1,0,0,55532,L,LT,감보아,65207,LG,2,신민재,True,슬라이더,133,F,False,43,중견수 왼쪽 1루타,중안,2,1,0,0
250925_183254,1,3,-0.156914,0.7083,3.133,1.52,-136.083,-8.23345,-5.75821,6.57186,50.0,1.26668,10.6777,39.8998,-8.82457,L,2.6934,False,0,0,2,1,0,1,0,0,55532,L,LT,감보아,65207,LG,2,신민재,True,직구,151,S,False,43,중견수 왼쪽 1루타,중안,2,1,0,0
250925_183316,1,4,0.126754,0.7083,3.133,1.52,-138.138,-7.06188,-3.38015,6.69018,50.0,1.10931,4.19737,45.4103,-6.71881,L,3.4588,False,0,0,2,1,0,1,0,0,55532,L,LT,감보아,65207,LG,2,신민재,True,직구,153,F,True,53,중견수 왼쪽 1루타,중안,2,1,0,0
250925_183345,1,5,-0.80455,0.7083,3.133,1.52,-137.633,-9.02272,-6.33121,6.53908,50.0,1.14273,6.29892,40.0407,-4.26655,L,2.751,False,0,0,2,1,0,1,0,0,55532,L,LT,감보아,65207,LG,2,신민재,True,직구,154,F,False,41,중견수 왼쪽 1루타,중안,2,1,0,0
250925_183428,1,6,0.170355,0.7083,3.133,1.52,-116.711,2.86939,-2.54404,6.76776,50.0,1.47011,-1.52327,32.1067,-39.7885,L,3.9218,False,0,0,2,2,0,1,0,0,55532,L,LT,감보아,65207,LG,2,신민재,True,커브,129,B,True,53,중견수 왼쪽 1루타,중안,2,1,0,0
250925_183450,1,7,-0.682599,0.7083,3.133,1.52,-122.967,-5.18471,-6.09568,6.45057,50.0,1.71757,1.98667,30.3057,-29.1017,L,1.5426,False,0,0,2,2,0,1,0,0,55532,L,LT,감보아,65207,LG,2,신민재,True,슬라이더,137,F,False,22,중견수 왼쪽 1루타,중안,2,1,0,0
250925_183522,1,8,-0.44512,0.7083,3.133,1.52,-135.801,-5.98977,-5.60516,6.56023,50.0,1.29141,5.6962,40.703,-15.5964,L,3.0247,False,0,0,2,2,0,1,0,0,55532,L,LT,감보아,65207,LG,2,신민재,True,직구,151,H,False,42,중견수 왼쪽 1루타,중안,2,1,0,0
250925_183622,1,1,0.135164,0.7083,3.186,1.545,-124.17,-3.00793,-3.69929,6.47434,50.0,1.78551,-1.05461,33.5145,-26.1586,L,2.8007,False,0,0,0,0,0,2,1,0,55532,L,LT,감보아,68119,LG,3,문성주,True,슬라이더,138,H,False,43,유격수 플라이 아웃,유비,2,1,0,0
250925_183711,1,1,-0.459855,0.7083,3.371,1.635,-122.714,-4.96961,-7.48969,6.45429,50.0,1.72806,11.1604,37.2133,-15.3006,R,2.8296,False,0,0,1,0,1,2,1,0,55532,L,LT,감보아,53123,LG,4,오스틴,True,체인지업,136,T,False,42,3루수 병살타 아웃 (3루수->2루수->1루수 송구아웃),3병,0,1,0,0
250925_183733,1,2,0.086214,0.7083,3.371,1.635,-136.667,-4.75717,-4.63811,6.73843,50.0,1.32293,7.40689,44.8534,-8.42725,R,4.2347,False,0,0,1,1,1,2,1,0,55532,L,LT,감보아,53123,LG,4,오스틴,True,직구,152,B,True,53,3루수 병살타 아웃 (3루수->2루수->1루수 송구아웃),3병,0,1,0,0
250925_183800,1,3,0.295715,0.7083,3.371,1.635,-123.661,-9.30906,-3.40484,6.29352,50.0,1.80698,-0.891788,30.8512,-24.9208,R,0.045,False,0,0,1,2,1,2,1,0,55532,L,LT,감보아,53123,LG,4,오스틴,True,슬라이더,138,B,True,14,3루수 병살타 아웃 (3루수->2루수->1루수 송구아웃),3병,0,1,0,0
250925_183829,1,4,0.5333,0.7083,3.371,1.635,-125.771,-4.13959,-6.16581,6.3552,50.0,1.8508,14.4174,35.2816,-15.3426,R,3.2358,False,0,0,1,2,1,2,1,0,55532,L,LT,감보아,53123,LG,4,오스틴,True,체인지업,139,H,False,44,3루수 병살타 아웃 (3루수->2루수->1루수 송구아웃),3병,0,1,0,0
250925_184053,1,1,0.360643,0.7083,3.318,1.609,-131.503,-9.42704,-4.68594,6.40827,50.0,1.71082,6.40063,32.9811,-12.6028,R,1.6247,True,0,0,1,0,0,0,0,0,67143,L,LG,손주영,52568,LT,1,한태양,False,직구,146,T,False,24,삼진 아웃,삼진,0,0,0,0
250925_184109,1,2,0.807513,0.7083,3.318,1.609,-108.727,1.88968,0.582829,6.833,50.0,1.49771,-8.38146,26.221,-39.3965,R,3.0527,True,0,0,2,0,0,0,0,0,67143,L,LG,손주영,52568,LT,1,한태양,False,커브,120,T,True,45,삼진 아웃,삼진,0,0,0,0
250925_184128,1,3,0.500232,0.7083,3.318,1.609,-120.473,-3.54858,-4.09009,6.57756,50.0,1.45028,8.76221,32.4021,-29.7323,R,2.118,True,0,0,2,0,0,0,0,0,67143,L,LG,손주영,52568,LT,1,한태양,False,포크,133,F,False,24,삼진 아웃,삼진,0,0,0,0
