pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250926_183050,1,1,0.58327,0.7083,3.287,1.594,-132.07,-1.98118,4.69538,5.77701,50.0,-0.993303,-3.36281,29.6578,-16.9817,R,3.6591,False,0,0,0,1,0,0,0,0,54503,R,LT,박준우,52415,SS,1,이재현,False,직구,146,B,True,54,3루수 라인드라이브 아웃,3직,0,0,0,0
250926_183104,1,2,0.100006,0.7083,3.287,1.594,-119.87,-0.511275,3.77489,5.35822,50.0,-1.74417,2.54536,20.8245,-34.6442,R,1.8823,False,0,0,1,1,0,0,0,0,54503,R,LT,박준우,52415,SS,1,이재현,False,슬라이더,133,F,False,23,3루수 라인드라이브 아웃,3직,0,0,0,0
250926_183131,1,3,1.1137,0.7083,3.287,1.594,-130.619,-0.751441,8.34019,5.71531,50.0,-1.20308,-12.4332,26.0896,-25.1623,R,3.4162,False,0,0,1,2,0,0,0,0,54503,R,LT,박준우,52415,SS,1,이재현,False,직구,144,B,True,55,3루수 라인드라이브 아웃,3직,0,0,0,0
250926_183147,1,4,-0.787132,0.7083,3.287,1.594,-117.567,1.79502,0.873434,5.59341,50.0,-1.62339,4.82722,19.4013,-34.9125,R,2.9852,False,0,0,2,2,0,0,0,0,54503,R,LT,박준우,52415,SS,1,이재현,False,슬라이더,131,F,False,41,3루수 라인드라이브 아웃,3직,0,0,0,0
250926_183207,1,5,-0.291994,0.7083,3.287,1.594,-119.972,-2.50974,1.82119,5.42687,50.0,-1.53649,5.04796,23.2587,-35.0572,R,1.0162,False,0,0,2,2,0,0,0,0,54503,R,LT,박준우,52415,SS,1,이재현,False,슬라이더,133,H,True,12,3루수 라인드라이브 아웃,3직,0,0,0,0
250926_183240,1,1,-0.230718,0.7083,2.996,1.453,-118.476,-1.35254,2.24348,5.3072,50.0,-1.51554,3.34555,21.3493,-37.1384,L,1.1273,False,0,0,0,1,1,0,0,0,54503,R,LT,박준우,67449,SS,2,김성윤,False,슬라이더,131,B,False,13,투수 맞고 유격수 내야안타,투유안,2,0,0,0
250926_183254,1,2,-0.076749,0.7083,2.996,1.453,-132.792,-4.89817,5.94939,5.44182,50.0,-1.49763,-11.8302,33.2025,-22.8831,L,1.7059,False,0,0,1,1,1,0,0,0,54503,R,LT,박준우,67449,SS,2,김성윤,False,직구,146,F,False,23,투수 맞고 유격수 내야안타,투유안,2,0,0,0
250926_183317,1,3,-1.45494,0.7083,2.996,1.453,-117.695,-2.11651,0.125005,5.62477,50.0,-1.26013,-2.6284,20.7131,-33.3323,L,1.433,False,0,0,1,2,1,0,0,0,54503,R,LT,박준우,67449,SS,2,김성윤,False,포크,132,B,True,11,투수 맞고 유격수 내야안타,투유안,2,0,0,0
250926_183333,1,4,0.042891,0.7083,2.996,1.453,-130.199,-6.81869,5.20193,5.46545,50.0,-1.3836,-8.04672,26.9969,-17.5295,L,1.3263,False,0,0,2,2,1,0,0,0,54503,R,LT,박준우,67449,SS,2,김성윤,False,직구,144,T,False,13,투수 맞고 유격수 내야안타,투유안,2,0,0,0
250926_183351,1,5,0.355381,0.7083,2.996,1.453,-119.662,-3.42027,3.06754,5.42564,50.0,-1.45502,5.2576,24.5682,-33.4394,L,0.7292,False,0,0,2,2,1,0,0,0,54503,R,LT,박준우,67449,SS,2,김성윤,False,슬라이더,132,F,True,14,투수 맞고 유격수 내야안타,투유안,2,0,0,0
