pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250928_143018,1,1,-0.417572,0.7083,3.318,1.609,-137.984,-0.303788,4.68845,6.17018,50.0,-1.42616,-10.6434,31.785,-15.4211,R,4.9481,False,0,0,0,1,0,0,0,0,68220,R,OB,곽빈,52568,LT,1,한태양,False,직구,153,B,True,52,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250928_143031,1,2,-0.18191,0.7083,3.318,1.609,-137.806,-7.98997,6.56687,5.92445,50.0,-1.51132,-16.1152,33.6957,-11.9008,R,2.0224,False,0,0,1,1,0,0,0,0,68220,R,OB,곽빈,52568,LT,1,한태양,False,직구,153,S,False,23,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250928_143048,1,3,0.487275,0.7083,3.318,1.609,-138.534,-6.23255,7.60502,5.89355,50.0,-1.39382,-13.7105,32.9161,-17.6601,R,2.2774,False,0,0,2,1,0,0,0,0,68220,R,OB,곽빈,52568,LT,1,한태양,False,직구,154,S,False,34,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250928_143106,1,4,-0.728635,0.7083,3.318,1.609,-140.086,-6.26283,5.69446,5.89358,50.0,-1.37204,-21.4883,30.9027,-19.1246,R,2.2378,False,0,0,2,1,0,0,0,0,68220,R,OB,곽빈,52568,LT,1,한태양,False,직구,156,H,False,31,3루수 땅볼 아웃 (3루수->1루수 송구아웃),3땅,0,0,0,0
250928_143145,1,1,-0.723618,0.7083,3.457,1.677,-139.77,-8.9699,3.67766,5.8646,50.0,-1.33025,-11.0318,30.4642,-15.3973,L,1.4494,False,0,0,0,1,1,0,0,0,68220,R,OB,곽빈,69517,LT,2,고승민,False,직구,155,B,False,11,좌익수 플라이 아웃,좌비,0,0,0,0
250928_143157,1,2,0.124706,0.7083,3.457,1.677,-139.854,-4.11928,7.33225,5.90671,50.0,-1.47418,-16.2404,32.5146,-20.8779,L,2.9089,False,0,0,0,1,1,0,0,0,68220,R,OB,곽빈,69517,LT,2,고승민,False,직구,155,H,False,43,좌익수 플라이 아웃,좌비,0,0,0,0
250928_143232,1,1,-0.56423,0.7083,3.446,1.671,-138.989,-8.4203,4.77754,6.00967,50.0,-1.26224,-15.6306,30.7328,-10.3328,R,2.1217,False,0,0,1,0,2,0,0,0,68220,R,OB,곽빈,52591,LT,3,윤동희,False,직구,154,T,False,22,삼진 아웃,삼진,0,0,0,0
250928_143244,1,2,0.807736,0.7083,3.446,1.671,-109.889,0.780564,2.80042,6.4483,50.0,-1.30764,7.17297,22.3409,-40.6217,R,2.1759,False,0,0,2,0,2,0,0,0,68220,R,OB,곽빈,52591,LT,3,윤동희,False,커브,121,T,True,25,삼진 아웃,삼진,0,0,0,0
250928_143258,1,3,0.083378,0.7083,3.446,1.671,-142.894,-6.82449,6.79431,6.09781,50.0,-1.20216,-17.9011,30.8236,-8.89958,R,3.0219,False,0,0,2,0,2,0,0,0,68220,R,OB,곽빈,52591,LT,3,윤동희,False,직구,159,F,False,43,삼진 아웃,삼진,0,0,0,0
250928_143319,1,4,0.766598,0.7083,3.446,1.671,-142.083,-7.21736,7.6504,5.9249,50.0,-1.09102,-13.9747,35.613,-13.203,R,2.3632,False,0,0,3,0,2,0,0,0,68220,R,OB,곽빈,52591,LT,3,윤동희,False,직구,158,S,True,35,삼진 아웃,삼진,0,0,0,0
250928_143528,1,1,-0.597978,0.7083,3.419,1.658,-130.819,-7.373,2.57994,5.72629,50.0,-0.682935,-11.9983,29.1834,-15.2992,L,1.5524,True,0,0,1,0,0,0,0,0,64021,R,LT,박세웅,51203,OB,1,안재석,False,직구,144,T,False,12,포수 스트라이크 낫 아웃 (포수->1루수 1루 터치아웃),삼진,0,0,0,0
250928_143543,1,2,-0.520762,0.7083,3.419,1.658,-105.141,3.42713,0.040683,6.36975,50.0,-0.724021,1.52667,18.6015,-43.2223,L,2.7269,True,0,0,2,0,0,0,0,0,64021,R,LT,박세웅,51203,OB,1,안재석,False,커브,117,T,False,32,포수 스트라이크 낫 아웃 (포수->1루수 1루 터치아웃),삼진,0,0,0,0
