pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3
250929_183021,1,1,-0.259424,0.7083,3.318,1.609,-138.385,-5.71146,6.3944,5.74282,50.0,-1.49306,-16.5538,34.083,-6.89725,R,3.0828,False,0,0,1,0,0,0,0,0,54833,R,SK,앤더슨,52568,LT,1,한태양,False,직구,153,T,False,42,볼넷,4구,1,0,0
250929_183037,1,2,0.203764,0.7083,3.318,1.609,-136.191,-3.61467,7.07059,5.89892,50.0,-1.37769,-15.2752,30.7224,-10.0427,R,3.7724,False,0,0,2,0,0,0,0,0,54833,R,SK,앤더슨,52568,LT,1,한태양,False,직구,151,S,True,53,볼넷,4구,1,0,0
250929_183053,1,3,0.659924,0.7083,3.318,1.609,-114.511,-0.837976,3.58247,6.08472,50.0,-1.32236,3.5001,25.2224,-42.4602,R,1.2083,False,0,0,2,1,0,0,0,0,54833,R,SK,앤더슨,52568,LT,1,한태양,False,커브,127,B,False,14,볼넷,4구,1,0,0
250929_183110,1,4,1.34001,0.7083,3.318,1.609,-135.432,-6.22246,9.1614,5.90825,50.0,-1.14669,-13.8147,31.3097,-6.18613,R,3.0416,False,0,0,2,2,0,0,0,0,54833,R,SK,앤더슨,52568,LT,1,한태양,False,직구,150,B,True,45,볼넷,4구,1,0,0
250929_183125,1,5,1.07518,0.7083,3.318,1.609,-115.119,-2.50867,4.40425,6.02446,50.0,-1.28877,3.7099,25.8854,-41.0333,R,0.5738,False,0,0,2,3,0,0,0,0,54833,R,SK,앤더슨,52568,LT,1,한태양,False,커브,127,B,True,15,볼넷,4구,1,0,0
250929_183145,1,6,1.6337,0.7083,3.318,1.609,-135.912,-5.72307,9.95803,5.72498,50.0,-1.3386,-11.2067,31.8263,-9.58535,R,2.8087,False,0,0,2,4,0,0,0,0,54833,R,SK,앤더슨,52568,LT,1,한태양,False,직구,150,B,True,45,볼넷,4구,1,0,0
250929_183225,1,1,3.01611,0.7083,3.457,1.677,-114.22,-6.57866,8.58117,5.90029,50.0,-1.17385,2.65721,26.9282,-38.7607,L,-1.3008,False,0,0,0,1,0,1,0,0,54833,R,SK,앤더슨,69517,LT,2,고승민,True,커브,126,B,True,15,2루수 땅볼 아웃 (2루수->1루수 송구아웃),2땅,0,0,1
250929_183300,1,2,0.162995,0.7083,3.457,1.677,-136.432,-5.67635,6.19455,5.7768,50.0,-1.42714,-10.5799,35.4111,-6.64214,L,3.0926,False,0,0,1,1,0,0,1,0,54833,R,SK,앤더슨,69517,LT,2,고승민,True,직구,150,T,False,43,2루수 땅볼 아웃 (2루수->1루수 송구아웃),2땅,0,0,1
250929_183317,1,3,-0.413618,0.7083,3.457,1.677,-126.478,-1.80645,6.50392,6.0225,50.0,-1.47478,-19.1989,21.7031,-28.314,L,2.9057,False,0,0,2,1,0,0,1,0,54833,R,SK,앤더슨,69517,LT,2,고승민,True,체인지업,141,F,False,42,2루수 땅볼 아웃 (2루수->1루수 송구아웃),2땅,0,0,1
250929_183340,1,4,0.481134,0.7083,3.457,1.677,-135.366,-10.2125,8.32343,5.68972,50.0,-1.22873,-20.1506,34.6107,-8.56262,L,1.0735,False,0,0,2,2,0,0,1,0,54833,R,SK,앤더슨,69517,LT,2,고승민,True,직구,150,B,True,14,2루수 땅볼 아웃 (2루수->1루수 송구아웃),2땅,0,0,1
250929_183400,1,5,1.28767,0.7083,3.457,1.677,-134.57,-6.60292,9.78404,5.71047,50.0,-1.23852,-16.7324,33.6869,-8.92846,L,2.4497,False,0,0,2,3,0,0,1,0,54833,R,SK,앤더슨,69517,LT,2,고승민,True,직구,149,B,True,35,2루수 땅볼 아웃 (2루수->1루수 송구아웃),2땅,0,0,1
250929_183419,1,6,-0.054625,0.7083,3.457,1.677,-136.685,-8.04279,7.78156,5.68775,50.0,-1.46664,-21.4023,35.3357,-9.47899,L,1.8892,False,0,0,2,3,0,0,1,0,54833,R,SK,앤더슨,69517,LT,2,고승민,True,직구,151,H,False,23,2루수 땅볼 아웃 (2루수->1루수 송구아웃),2땅,0,0,1
250929_183454,1,1,0.844108,0.7083,3.579,1.736,-135.842,-4.81482,8.68744,5.89707,50.0,-1.27755,-16.3574,33.2403,-8.52935,L,3.4004,False,0,0,0,0,1,0,0,1,54833,R,SK,앤더슨,54529,LT,3,레이예스,True,직구,150,H,True,45,유격수 땅볼 아웃 (유격수->1루수 송구아웃),유땅,0,0,0
250929_183541,1,1,-0.618833,0.7083,3.389,1.644,-129.239,-3.77117,5.93767,5.91114,50.0,-1.48912,-18.7947,31.1565,-25.0481,R,2.304,False,0,1,1,0,2,0,0,0,54833,R,SK,앤더슨,78513,LT,4,전준우,False,체인지업,143,T,False,32,삼진 아웃,삼진,0,0,0
250929_183558,1,2,1.35007,0.7083,3.389,1.644,-116.326,-4.8083,5.95103,5.99194,50.0,-1.34887,0.502552,25.1454,-37.9727,R,-0.0582,False,0,1,1,1,2,0,0,0,54833,R,SK,앤더슨,78513,LT,4,전준우,False,커브,129,B,True,15,삼진 아웃,삼진,0,0,0
250929_183616,1,3,-0.699204,0.7083,3.389,1.644,-135.759,-5.23014,4.8186,5.71744,50.0,-1.526,-13.923,28.16,-11.185,R,2.8886,False,0,1,2,1,2,0,0,0,54833,R,SK,앤더슨,78513,LT,4,전준우,False,직구,150,F,False,42,삼진 아웃,삼진,0,0,0
250929_183642,1,4,-0.012185,0.7083,3.389,1.644,-129.142,-2.89884,5.70347,6.07857,50.0,-1.30642,-12.3318,28.4081,-22.5975,R,3.0485,False,0,1,2,1,2,0,0,0,54833,R,SK,앤더슨,78513,LT,4,전준우,False,체인지업,143,F,False,43,삼진 아웃,삼진,0,0,0
250929_183703,1,5,-0.148862,0.7083,3.389,1.644,-136.9,-5.08546,5.80537,5.81322,50.0,-1.41757,-12.9531,33.7686,-8.19057,R,3.2618,False,0,1,2,1,2,0,0,0,54833,R,SK,앤더슨,78513,LT,4,전준우,False,직구,151,F,False,43,삼진 아웃,삼진,0,0,0
250929_183723,1,6,1.03787,0.7083,3.389,1.644,-116.337,-0.021984,3.47608,6.10286,50.0,-1.22884,7.2036,26.0753,-38.7628,R,2.1199,False,0,1,3,1,2,0,0,0,54833,R,SK,앤더슨,78513,LT,4,전준우,False,커브,129,S,True,25,삼진 아웃,삼진,0,0,0
250929_184001,1,1,1.3854,0.7083,3.334,1.617,-131.052,-7.2526,5.59193,6.02118,50.0,0.324626,-14.7123,33.6168,-10.1818,L,2.2797,True,0,1,0,1,0,0,0,0,69594,R,LT,박진,67893,SK,1,박성한,False,직구,145,B,True,35,볼넷,4구,1,0,0
250929_184015,1,2,0.315378,0.7083,3.334,1.617,-114.827,-2.41059,0.939214,6.23425,50.0,0.044126,-1.49224,22.3375,-28.5441,L,2.1731,True,0,1,1,1,0,0,0,0,69594,R,LT,박진,67893,SK,1,박성한,False,슬라이더,127,T,False,24,볼넷,4구,1,0,0
250929_184029,1,3,0.200941,0.7083,3.334,1.617,-130.707,-8.32024,4.43901,5.98525,50.0,0.212764,-22.5738,31.3801,-8.36989,L,1.9651,True,0,1,2,1,0,0,0,0,69594,R,LT,박진,67893,SK,1,박성한,False,직구,145,T,False,23,볼넷,4구,1,0,0
250929_184046,1,4,0.526447,0.7083,3.334,1.617,-121.119,-6.05316,3.43606,6.05412,50.0,0.268711,-13.3427,22.8385,-24.5663,L,1.1756,True,0,1,2,2,0,0,0,0,69594,R,LT,박진,67893,SK,1,박성한,False,포크,134,B,False,14,볼넷,4구,1,0,0
250929_184103,1,5,1.24573,0.7083,3.334,1.617,-131.621,-8.05501,4.65104,6.00359,50.0,0.369565,-12.3266,29.6436,-4.96154,L,2.4079,True,0,1,2,2,0,0,0,0,69594,R,LT,박진,67893,SK,1,박성한,False,직구,146,F,True,35,볼넷,4구,1,0,0
250929_184127,1,6,-0.357638,0.7083,3.334,1.617,-132.381,-3.11949,2.00711,6.10926,50.0,0.120162,-16.4632,33.7536,-9.6145,L,4.107,True,0,1,2,3,0,0,0,0,69594,R,LT,박진,67893,SK,1,박성한,False,직구,146,B,True,52,볼넷,4구,1,0,0
250929_184147,1,7,-0.544288,0.7083,3.334,1.617,-130.223,-0.018801,0.628913,6.34136,50.0,0.023964,-10.3889,30.2141,-9.36019,L,5.5745,True,0,1,2,4,0,0,0,0,69594,R,LT,박진,67893,SK,1,박성한,False,직구,144,B,True,52,볼넷,4구,1,0,0
250929_184230,1,1,-0.17253,0.7083,3.303,1.602,-120.61,-0.516421,0.762971,6.31854,50.0,0.010122,-5.58375,23.7784,-23.5281,R,3.8888,True,0,1,0,1,0,1,0,0,69594,R,LT,박진,53827,SK,2,에레디아,True,슬라이더,133,B,True,53,투수 맞고 2루수 내야안타,투2안,2,1,0
250929_184310,1,2,-0.037605,0.7083,3.303,1.602,-122.123,-3.91327,0.34156,6.06529,50.0,0.003625,-2.09778,21.8666,-22.3966,R,2.3708,True,0,1,1,1,0,1,0,0,69594,R,LT,박진,53827,SK,2,에레디아,True,슬라이더,135,F,False,33,투수 맞고 2루수 내야안타,투2안,2,1,0
