pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3
250930_183034,1,1.0,0.285123,0.7083,3.318,1.609,-138.117,-3.86838,6.81743,5.79684,50.0,-2.12807,-1.93979,33.5476,-16.2961,R,3.1553,False,0,0,1,0,0,0,0,0,54755,R,HH,와이스,52568,LT,1,한태양,False,직구,155,S,False,44,삼진 아웃,삼진,0,0,0
250930_183050,1,2.0,1.16621,0.7083,3.318,1.609,-137.696,-7.51843,9.68701,5.65063,50.0,-2.00409,-6.57584,33.3501,-12.9964,R,1.847,False,0,0,1,1,0,0,0,0,54755,R,HH,와이스,52568,LT,1,한태양,False,직구,155,B,True,25,삼진 아웃,삼진,0,0,0
250930_183104,1,3.0,-0.521843,0.7083,3.318,1.609,-137.857,-4.26827,5.4318,5.75096,50.0,-2.24844,-4.37129,32.7997,-13.8256,R,3.1321,False,0,0,2,1,0,0,0,0,54755,R,HH,와이스,52568,LT,1,한태양,False,직구,154,S,False,42,삼진 아웃,삼진,0,0,0
250930_183125,1,4.0,0.983925,0.7083,3.318,1.609,-138.688,-10.1946,8.59369,5.72795,50.0,-1.7403,-6.63961,29.258,-8.99449,R,1.2673,False,0,0,2,2,0,0,0,0,54755,R,HH,와이스,52568,LT,1,한태양,False,직구,154,B,True,15,삼진 아웃,삼진,0,0,0
250930_183141,1,5.0,1.07423,0.7083,3.318,1.609,-121.92,-4.36923,5.19935,5.71084,50.0,-2.25802,12.8109,23.9338,-32.9498,R,0.8212,False,0,0,3,2,0,0,0,0,54755,R,HH,와이스,52568,LT,1,한태양,False,스위퍼,137,S,True,15,삼진 아웃,삼진,0,0,0
250930_183215,1,1.0,-0.975697,0.7083,3.457,1.677,-138.641,-4.78323,4.3035,5.68765,50.0,-2.16258,-5.95396,31.1866,-13.3054,L,2.9428,False,0,0,0,1,1,0,0,0,54755,R,HH,와이스,69517,LT,2,고승민,False,직구,156,B,False,41,유격수 플라이 아웃,유비,0,0,0
250930_183228,1,2.0,-0.711918,0.7083,3.457,1.677,-116.489,2.64625,0.947418,6.16039,50.0,-2.14262,10.2618,24.369,-42.83,L,3.0072,False,0,0,1,1,1,0,0,0,54755,R,HH,와이스,69517,LT,2,고승민,False,커브,130,T,False,41,유격수 플라이 아웃,유비,0,0,0
250930_183241,1,3.0,-0.520939,0.7083,3.457,1.677,-128.91,-4.05346,6.68031,5.65053,50.0,-2.23117,-12.0304,28.8267,-34.6164,L,1.1459,False,0,0,2,1,1,0,0,0,54755,R,HH,와이스,69517,LT,2,고승민,False,체인지업,142,S,False,12,유격수 플라이 아웃,유비,0,0,0
250930_183256,1,4.0,0.638952,0.7083,3.457,1.677,-138.931,-5.26189,8.09375,5.68135,50.0,-1.92046,-6.33752,30.3905,-15.6304,L,2.6058,False,0,0,2,1,1,0,0,0,54755,R,HH,와이스,69517,LT,2,고승민,False,직구,156,H,False,34,유격수 플라이 아웃,유비,0,0,0
250930_183328,1,1.0,0.929813,0.7083,3.579,1.736,-137.885,-6.60595,9.12899,5.57868,50.0,-1.91658,-8.13151,32.8132,-13.6594,L,2.0848,False,0,0,0,1,2,0,0,0,54755,R,HH,와이스,54529,LT,3,레이예스,False,직구,155,B,True,25,유격수 플라이 아웃,유비,0,0,0
